1,1,71.929166666667,40.680555555556,01_Boz
2,2,72.750305555556,40.697611111111,02_Kurgantepa
3,3,71.623055555556,40.686666666667,03_Ulugnar
4,4,64.512194444444,40.779805555556,04_Ayakagitma
5,5,63.326944444444,40.849444444444,05_Djangeldy
6,6,63.838888888889,39.492666666667,06_Karakul
7,7,62.198,40.548361111111,07_Kysyl-Ravat
8,8,66.827222222222,38.254555555556,08_Akrabat
9,9,66.931666666667,38.646083333333,09_Minchukur
10,10,67.516666666667,39.1,10_Kul
101,101,66.570138888889,38.348444444444,101_Dekhkanabad
102,102,65.146027777778,39.273444444444,102_Mubarek
103,103,65.374833333333,38.836472222222,103_Chimkurgan
104,104,66.833666666667,39.070444444444,104_Shakhrisyabz
105,105,66.266666666667,38.616666666667,105_Guzar
106,106,65.768027777778,38.823055555556,106_Kashkadarya_markaz
107,107,68.005611111111,39.722944444444,107_Bakhmal
108,108,67.576722222222,40.035472222222,108_Gallaaral
109,109,68.022861111111,40.526611111111,109_Dustlik
11,11,64.336111111111,43.171666666667,11_Akbaytal
110,110,67.45,39.916666666667,110_Lalmikor
111,111,68.429805555556,40.008055555556,111_Zomin
112,112,67.177611111111,40.425527777778,112_Yangikishlak
113,113,72.23,40.677444444444,113_Asaka
114,114,72.294805555556,40.909194444444,114_Izbosgan
115,115,71.961411111111,40.849872222222,115_Baliqchi
116,116,68.472222222222,39.626666666667,116_Suffa
117,117,72.202777777778,40.773722222222,117_Oltinqol
118,118,71.871708333333,40.926347222222,118_Gova
119,119,71.474413888889,40.984333333333,119_Turakurgan
12,12,62.468333333333,41.751883333333,12_Buzaubay
120,120,71.807808333333,41.1591,"120_Art Soft"
121,121,72.101166666667,41.147,121_Uchkurgan
122,122,71.684222222222,41.331472222222,122_Yangikurgan
123,123,71.222583333333,41.078722222222,123_Chust
124,124,71.004777777778,40.320916666667,124_Dasht
125,125,71.767944444444,40.677611111111,125_Mezon
126,126,71.352972222222,40.450333333333,126_Rishton
127,127,71.731472222222,40.171777777778,127_Vodil
13,13,65.281333333333,41.054,13_Mashikuduk
14,14,65.749444444444,40.545091666667,14_Nurata
15,15,66.411111111111,40.733138888889,15_Sentob-Nurata
16,16,64.621388888889,41.758569444444,16_Tamdy
17,17,63.548611111111,42.157894444444,17_Uchkuduk
18,18,65.384166666667,40.075616666667,18_Navoiy_markaz
19,19,73.007777777778,40.776111111111,19_Xonobod
20,20,66.234333333333,39.982916666667,20_Payshanba
21,21,66.651944444444,40.245833333333,21_Kushrabad
22,22,67.205555555556,38.209166666667,22_Baysun
23,23,68.005166666667,38.464527777778,23_Saryassiya
24,24,67.800277777778,38.017722222222,24_Shurchi
25,25,67.316472222222,37.277694444444,25_Termez
26,26,68.683333333333,40.812,26_Syrdarya
27,27,68.833055555556,40.266361111111,27_Yangier
28,28,68.452311111111,40.374511111111,28_Sardoba
29,29,70.023333333333,41.526175,29_Chimgan
30,30,70.868888888889,42.163483333333,30_Oygaing
31,31,70.367111111111,41.909555555556,31_Pskem
32,32,70.035722222222,41.616277777778,32_Charvak
33,33,69.5665,40.868055555556,33_Almalik
34,34,70.099444444444,41.011888888889,34_Angren
35,35,69.266666666667,40.207830555556,35_Bekabad
36,36,69.283333333333,40.407666666667,36_Dalverzin
37,37,69.308111111111,40.995666666667,37_Tyuyabuguz
38,38,69.2275,40.706091666667,38_Kokaral
39,39,70.075555555556,41.158513888889,39_Dukant
40,40,69.017727777778,41.081666666667,40_Yangiyul
41,41,69.818055555556,41.244580555556,41_Sukok
42,42,69.357805555556,41.053527777778,42_Nurafshon
43,43,71.77875,40.372583333333,43_Fergana_markaz
44,44,70.950138888889,40.550138888889,44_Kokand
45,45,72.066958333333,40.574972222222,45_Kuva
46,46,71.124861111111,39.953083333333,46_Sarykanda
47,47,71.771333333333,39.957888888889,47_Shahimardan
48,48,61.336391666667,41.216666666667,48_Tuyamuyun
49,49,60.383333333333,41.410277777778,49_Khiva
50,50,60.356111111111,41.9153,50_Gurlen
51,51,69.295277777778,41.327972222222,51_Tashkent-Observatory
52,52,69.421333333333,41.437972222222,52_Ae-Tashkent
55,55,64.831,39.4995,55_Qaravulbazar
56,56,64.27,39.907388888889,56_Romitan
57,57,67.834444444444,40.165388888889,57_Jizzax_markaz
58,58,67.577138888889,40.775361111111,58_Garbiy_Arnasoy
59,59,67.010277777778,37.665833333333,59_Sherabad
60,60,66.421869444444,41.141033333333,60_Baymurat
61,61,71.676166666667,41.00525,61_Namangan_markaz
62,62,71.111666666667,40.878444444444,62_Pop
63,63,70.536391666667,41.085130555556,63_Qamchiq
64,64,71.540277777778,41.289583333333,64_Kasansay
65,65,70.458361111111,41.1635,65_Orzu
66,66,70.684613888889,41.077902777778,66_Chodak
67,67,71.871397222222,40.926413888889,67_Uchtepa
68,68,66.915277777778,39.758055555556,68_Dagbit
69,69,66.836111111111,39.993333333333,69_Payarik
70,70,67.905555555556,38.338611111111,70_Denau
71,71,67.496444444444,38.556083333333,71_Sangardak
72,72,68.793777777778,40.505277777778,72_Gulistan
73,73,69.943019444444,41.502316666667,73_Amirsay
74,74,64.211722222222,41.583277777778,74_Zarafshan
75,75,69.836111111111,40.918194444444,75_Akhangaran
76,76,71.907777777778,40.298611111111,76_Kuvasay
77,77,71.442777777778,40.516944444444,77_Altyarik
78,78,70.579166666667,40.573194444444,78_Besharik
79,79,60.660472222222,41.549388888889,79_Khorezm_markaz
